"id","price","ticketnum","performance_id","purchase_id"
"149","47","TA4211529","21","12"
"150","11","TA1685207","62","12"
"151","25","TA7853965","117","12"
"152","7","TA8871083","23","12"
"153","17","TA5104068","61","12"
"154","10","TA3518826","16","12"
"155","53","TA2231909","132","12"
"156","5","TA9476043","51","13"
"157","9","TA8458623","64","13"
"158","8","TA8767762","131","13"
"159","5","TA2720084","124","14"
"160","6","TA9527731","57","14"
"161","6","TA2408948","103","14"
"162","42","TA5540120","99","14"
"163","8","TA1977597","45","14"
"164","20","TA1902028","52","14"
"165","5","TA4887497","67","14"
"166","63","TA8498771","14","14"
"167","14","TA8119034","78","14"
"168","47","TA5072322","77","14"
"169","2","TA6709372","43","15"
"170","34","TA9445075","72","15"
"171","5","TA1579008","113","15"
"172","9","TA9711266","93","15"
"173","42","TA4043630","6","15"
"174","16","TA8229643","116","15"
"175","9","TA6969082","12","15"
"176","8","TA1089095","116","16"
"177","14","TA9356524","75","16"
"178","5","TA6819245","76","16"
"179","2","TA9517550","90","16"
"180","24","TA9703318","25","16"
"181","10","TA9976574","1","17"
"182","4","TA5624211","87","17"
"183","11","TA4686196","126","17"
"184","11","TA2416186","50","17"
"185","17","TA7729582","131","17"
"186","34","TA6984998","66","17"
"187","9","TA6402620","104","17"
"188","24","TA3434128","38","17"
"189","10","TA6836615","16","17"
"190","6","TA4615168","84","17"
"191","5","TA4442972","129","17"
"192","45","TA8483696","7","17"
"193","5","TA5086901","22","17"
"194","35","TA2464024","13","17"
"195","82","TA6048567","27","17"
"196","70","TA4773737","86","17"
"197","38","TA8279818","106","17"
"198","12","TA9048853","39","17"
"199","21","TA8828862","53","18"
"200","34","TA5468360","126","18"
"201","38","TA3005548","85","18"
"202","35","TA9164237","51","18"
"203","8","TA2117674","111","18"
"204","8","TA9115374","92","18"
"205","5","TA3488807","50","18"
"206","7","TA4857708","125","18"
"207","1","TA5560533","90","18"
"208","16","TA7642455","98","18"
"209","17","TA7270732","59","18"
"210","13","TA9619923","69","18"
"211","80","TA7026391","33","18"
"212","10","TA4525059","52","18"
"213","2","TA5477080","47","19"
"214","15","TA3365173","113","19"
"215","31","TA1403570","1","19"
"216","13","TA3631495","69","19"
"217","11","TA1970842","66","19"
"218","7","TA1726463","78","19"
"219","37","TA5604477","42","19"
"220","58","TA7376799","18","19"
"221","5","TA1716078","55","19"
"222","27","TA8980589","58","19"
"223","12","TA2925317","112","20"
"224","5","TA2749936","72","20"
"225","16","TA1141318","26","20"
"226","33","TA5024818","62","20"
"227","47","TA5413755","77","20"
"228","10","TA6883505","109","20"
"229","34","TA3924525","66","20"
"230","2","TA5301949","76","20"
"231","11","TA5217373","51","20"
"232","24","TA9310475","25","21"
"233","2","TA9436917","43","21"
"234","14","TA3953948","23","21"
"235","6","TA1690616","46","21"
"236","31","TA9651691","101","21"
"237","42","TA3721899","6","21"
"238","4","TA4346729","92","21"
"239","44","TA1837687","31","21"
"240","27","TA6855872","74","21"
"241","4","TA1137243","3","21"
"242","9","TA3742949","64","21"
"243","14","TA4254972","43","22"
"244","17","TA3582227","76","22"
"245","7","TA9527492","77","22"
"246","18","TA2804432","114","22"
"247","1","TA2840246","90","22"
"248","15","TA5662369","49","22"
"249","34","TA9360020","15","22"
"250","9","TA1420617","82","22"
"251","5","TA2745739","130","22"
"252","2","TA6243044","124","22"
"253","5","TA4031310","79","22"
"254","5","TA8921437","62","22"
"255","6","TA9343463","57","22"
"256","10","TA3786662","16","22"
"257","55","TA3689598","104","22"
"258","5","TA2443551","121","23"
"259","5","TA4725912","126","23"
"260","8","TA6274594","60","23"
"261","40","TA3855394","11","23"
"262","8","TA9388210","40","23"
"263","38","TA6386740","44","23"
"264","2","TA5487065","47","23"
"265","10","TA4025098","14","23"
"266","43","TA5307566","107","23"
"267","30","TA2571961","130","23"
"268","15","TA8155251","128","23"
"269","14","TA4140638","78","23"
"270","38","TA3572810","85","23"
"271","7","TA4198512","77","23"
"272","9","TA4896570","28","23"
"273","11","TA9882629","22","23"
"274","7","TA6541505","21","24"
"275","8","TA1017670","35","24"
"276","26","TA9579641","33","24"
"277","47","TA7809053","128","24"
"278","28","TA2666225","87","24"
"279","6","TA6646475","85","24"
"280","7","TA6194606","10","24"
"281","5","TA7443632","66","24"
"282","8","TA7192825","60","24"
"283","8","TA8243488","111","24"
"284","7","TA3639519","7","25"
"285","4","TA1578133","64","25"
"286","8","TA4129165","118","25"
"287","13","TA1538992","69","25"
"288","60","TA2273805","52","25"
"289","8","TA4268679","35","26"
"290","39","TA5247894","69","26"
"291","51","TA4240303","131","26"
"292","9","TA1812689","120","26"
"293","34","TA9897626","66","26"
"294","5","TA4135047","109","26"
"295","31","TA6566639","55","26"
"296","17","TA3284743","61","26"
"297","5","TA4154160","126","26"
"298","12","TA9289690","103","26"
"299","11","TA7665366","37","26"
"300","42","TA9689098","71","26"
"301","3","TA8363723","53","26"
"302","139","TA8881945","41","26"
"303","27","TA3448160","93","26"
"304","10","TA6389756","16","26"
"305","12","TA9879844","42","26"
"306","31","TA3987729","97","26"
"307","16","TA8359065","32","26"
"308","4","TA8329549","35","27"
"309","51","TA3598842","45","27"
"310","9","TA9986420","87","27"
"311","47","TA4823656","5","27"
"312","5","TA7824676","81","28"
"313","5","TA9615928","67","28"
"314","38","TA7429758","108","28"
"315","49","TA8508046","98","28"
"316","9","TA5715729","122","28"
"317","31","TA1769902","19","28"
"318","78","TA7787033","80","28"
"319","59","TA4448163","9","28"
"320","3","TA6396538","115","28"
"321","13","TA1316632","91","28"
"322","10","TA2615281","1","28"
"323","8","TA8861330","131","29"
"324","4","TA7235372","3","29"
"325","15","TA7976055","113","29"
"326","12","TA1241021","38","29"
"327","41","TA7595234","95","29"
"328","41","TA9034686","17","29"
"329","42","TA5123653","6","29"
"330","17","TA5309946","61","29"
"331","15","TA5972116","128","29"
"332","12","TA7910263","103","29"
"333","4","TA7573287","12","29"
"334","7","TA3020440","31","29"
"335","11","TA8363539","86","29"
"336","58","TA8315185","18","29"
"337","10","TA9015813","105","29"
"338","10","TA5484320","67","29"
"339","14","TA3622974","71","29"
"340","18","TA1937048","104","30"
"341","15","TA6316928","89","30"
"342","6","TA5259579","83","30"
"343","24","TA9938391","38","30"
"344","12","TA6479609","42","30"
"345","48","TA3296227","40","30"
"346","14","TA5089028","23","30"
"347","30","TA1987658","121","30"
"348","7","TA7392491","107","30"
"349","18","TA1356705","57","30"
"350","14","TA1069204","24","30"
"351","7","TA4446915","128","30"
"352","24","TA8294425","25","30"
"353","13","TA8164329","27","31"
"354","27","TA8293320","12","31"
"355","3","TA6292768","10","31"
"356","5","TA5123706","113","31"
"357","42","TA1642553","71","31"
"358","12","TA3015470","73","31"
"359","4","TA8761080","3","31"
"360","53","TA4817482","132","31"
"361","9","TA2695563","104","31"
"362","42","TA7334565","8","31"
"363","27","TA9630410","28","31"
"364","45","TA3271673","7","31"
"365","23","TA8403463","41","31"
"366","5","TA5620300","16","31"
"367","11","TA6276207","110","31"
"368","11","TA7777706","50","31"
"369","7","TA9342394","23","31"
"370","9","TA3999277","18","32"
"371","4","TA1458409","20","32"
"372","12","TA4290622","108","32"
"373","34","TA5792216","126","32"
"374","9","TA2396320","63","32"
"375","27","TA3434148","74","32"
"376","12","TA3563992","106","32"
"377","5","TA3869364","22","32"
"378","78","TA3675229","80","32"
"379","4","TA9004446","3","32"
"380","50","TA8558659","118","32"
"381","10","TA7663622","121","33"
"382","30","TA4497625","130","33"
"383","40","TA5319302","102","33"
"384","35","TA1900352","51","33"
"385","59","TA1316738","65","33"
"386","37","TA2133325","42","33"
"387","17","TA7764662","132","33"
"388","34","TA9490912","37","33"
"389","35","TA4350637","13","33"
"390","56","TA2031292","100","33"
"391","27","TA1190027","93","33"
"392","4","TA8373641","35","33"
"393","7","TA9477245","71","33"
"394","17","TA4547698","59","33"
"395","51","TA8384887","45","33"
"396","5","TA7213223","97","33"
"397","53","TA5477995","61","33"
"398","15","TA7164277","47","33"
"399","3","TA8242255","53","34"
"400","34","TA9585653","126","34"
"401","14","TA7728433","94","34"
"402","18","TA8907248","114","34"
"403","31","TA1129373","105","34"
"404","24","TA6072428","25","34"
"405","7","TA1231835","125","34"
"406","5","TA1053919","62","34"
"407","10","TA6138924","130","34"
"408","40","TA2517841","83","34"
"409","11","TA7170483","79","34"
"410","4","TA4140462","20","34"
"411","1","TA1361518","90","34"
"412","40","TA8019257","91","34"
"413","31","TA2623056","101","34"
"414","31","TA8780348","19","34"
"415","13","TA4534516","70","34"
"416","6","TA2186733","11","34"
"417","15","TA9914974","89","35"
"418","38","TA5081434","108","35"
"419","8","TA4916667","61","35"
"420","72","TA4677970","38","35"
"421","24","TA7767187","92","35"
"422","31","TA5513658","19","36"
"423","27","TA1132621","82","36"
"424","17","TA6127190","60","36"
"425","7","TA4821487","23","36"
"426","4","TA7953578","74","36"
"427","9","TA2694759","28","36"
"428","18","TA8916782","114","36"
"429","13","TA3587675","17","36"
"430","43","TA1194488","107","36"
"431","11","TA7273946","72","36"
"432","11","TA8208531","51","36"
"433","56","TA4384877","100","36"
"434","19","TA5495552","9","36"
"435","24","TA6275852","38","36"
"436","4","TA2662655","64","36"
"437","7","TA9847239","115","36"
"438","15","TA9566223","47","36"
"439","5","TA7080049","123","36"
"440","4","TA4069867","3","36"
"441","20","TA8755641","29","37"
"442","18","TA2459536","114","37"
"443","16","TA8075651","98","37"
"444","9","TA9719706","18","37"
"445","9","TA2956229","100","37"
"446","15","TA3372843","5","37"
"447","7","TA2386177","23","37"
"448","13","TA7095827","70","38"
"449","58","TA2850977","18","38"
"450","8","TA7434515","45","38"
"451","6","TA5525133","11","38"
"452","12","TA4353943","112","38"
"453","27","TA3583221","82","38"
"454","25","TA7340312","73","38"
"455","13","TA1033783","91","38"
"456","24","TA6413192","92","38"
"457","47","TA8360551","21","38"
"458","8","TA6480964","25","38"
"459","18","TA7296187","100","39"
"460","6","TA5350761","106","39"
"461","4","TA8530617","25","39"
"462","40","TA1564115","102","39"
"463","9","TA9909107","28","39"
"464","49","TA9326246","98","39"
"465","7","TA3787424","10","39"
"466","32","TA5184827","26","40"
"467","34","TA7464496","15","40"
"468","12","TA2531152","112","40"
"469","7","TA6689159","8","40"
"470","12","TA1296735","38","40"
"471","6","TA2506811","102","40"
"472","7","TA9480883","24","40"
"473","10","TA6281731","1","40"
"474","35","TA1932747","13","41"
"475","11","TA9497626","22","41"
"476","10","TA2995727","1","41"
"477","7","TA8020492","4","41"
"478","34","TA4832010","37","41"
"479","39","TA7060515","69","41"
"480","4","TA4162894","3","41"
"481","11","TA2440862","86","41"
"482","31","TA6805081","101","41"
"483","13","TA2266286","80","41"
"484","17","TA3271519","60","41"
"485","6","TA4000038","84","41"
"486","51","TA6780286","45","41"
"487","10","TA9196817","55","41"
"488","40","TA9498403","102","41"
"489","34","TA2501142","72","41"
"490","5","TA5529954","101","42"
"491","8","TA7669877","25","42"
"492","77","TA9068310","117","42"
"493","6","TA3376156","44","42"
"494","10","TA7257509","97","42"
"495","23","TA5745490","86","42"
"496","8","TA2433565","59","42"
"497","13","TA4338561","56","42"
"498","31","TA7835252","67","42"
"499","9","TA1226195","58","42"
"500","4","TA4918698","87","43"
"501","12","TA6853826","42","43"
"502","34","TA5649636","72","43"
"503","44","TA7357603","31","43"
"504","11","TA7179199","62","44"
"505","6","TA5434607","119","44"
"506","31","TA3146741","19","44"
"507","14","TA6970102","75","44"
"508","34","TA8867974","126","44"
"509","5","TA6713870","121","44"
"510","9","TA1845890","82","44"
"511","97","TA8415609","26","44"
"512","33","TA4123837","22","44"
"513","7","TA7291645","71","44"
"514","9","TA2862780","63","44"
"515","8","TA5187240","98","44"
"516","6","TA8684491","54","44"
"517","12","TA6601079","117","44"
"518","17","TA8685415","132","45"
"519","9","TA3593497","93","45"
"520","12","TA5596116","108","45"
"521","13","TA5787958","27","45"
"522","5","TA4678743","22","45"
"523","5","TA4954253","37","45"
"524","4","TA2155036","74","45"
"525","4","TA3224490","96","45"
"526","21","TA1216965","10","45"
"527","7","TA3536191","49","45"
"528","24","TA2757818","38","45"
"529","38","TA9972951","85","45"
"530","8","TA2181097","88","45"
"531","14","TA8639485","43","46"
"532","7","TA5691693","115","46"
"533","9","TA8059197","120","46"
"534","22","TA9834768","110","46"
"535","6","TA1720727","106","46"
"536","4","TA4773619","92","46"
"537","27","TA8360322","58","46"
"538","12","TA3943404","112","46"
"539","8","TA9221048","131","46"
"540","7","TA7054383","5","46"
"541","4","TA7945593","96","46"
"542","14","TA7655476","8","46"
"543","15","TA6884792","77","46"
"544","4","TA4423270","20","46"
"545","3","TA7419592","4","46"
"546","38","TA8632503","44","46"
"547","30","TA6270989","127","46"
"548","7","TA4782082","78","46"
"549","19","TA2519238","65","46"
"550","12","TA9035752","112","47"
"551","31","TA3371390","105","47"
"552","4","TA5096832","88","47"
"553","80","TA3900263","33","48"
"554","9","TA6469388","64","48"
"555","10","TA7053221","52","48"
"556","5","TA7472438","67","48"
"557","8","TA8198720","32","48"
"558","10","TA2660273","1","48"
"559","38","TA5522400","30","48"
"560","42","TA9015092","94","48"
"561","44","TA7923562","125","48"
"562","5","TA9131766","129","48"
"563","5","TA3419081","68","48"
"564","47","TA4052004","49","48"
"565","14","TA5270279","78","48"
"566","11","TA8324862","15","48"
"567","7","TA3207593","7","48"
"568","12","TA5429840","85","48"
"569","27","TA4433699","27","48"
"570","44","TA5335582","31","48"
"571","37","TA7564997","36","48"
"572","4","TA3913682","43","49"
"573","16","TA6085077","40","49"
"574","15","TA9614744","5","49"
"575","5","TA9410858","123","49"
"576","6","TA9756297","30","49"
"577","8","TA8759967","116","49"
"578","8","TA5772169","132","50"
"579","17","TA3333267","61","50"
"580","13","TA2587732","11","50"
"581","11","TA2918446","62","50"
"582","9","TA2678238","58","50"
"583","38","TA3018976","85","50"
"584","8","TA1970506","111","50"
"585","50","TA2307807","118","50"
"586","11","TA9935724","72","50"
"587","7","TA7079559","4","50"
"588","14","TA2747171","23","50"
"589","11","TA9128486","126","50"
"590","38","TA6795946","84","50"
"591","30","TA5225135","68","50"
"592","6","TA3642245","56","50"
"593","4","TA1411612","58","51"
"594","5","TA7004431","68","51"
"595","31","TA4888090","109","51"
"596","8","TA6336797","98","51"
"597","21","TA7064668","14","51"
"598","43","TA8810260","107","51"
"599","8","TA1469765","118","51"
"600","40","TA5865136","70","51"
"601","67","TA3293611","110","51"
"602","35","TA5500697","79","51"
"603","16","TA8819429","26","51"
"604","19","TA3729700","9","51"
"605","5","TA7112777","51","52"
"606","40","TA4341600","54","52"
"607","11","TA3348164","79","53"
"608","6","TA3003922","95","53"
"609","31","TA1639608","97","53"
"610","6","TA4173507","42","53"
"611","7","TA5352950","23","53"
"612","77","TA4237149","117","53"
"613","6","TA4307240","2","53"
"614","2","TA1238900","113","53"
"615","10","TA9417736","109","53"
"616","31","TA7605605","19","53"
"617","14","TA9470532","75","53"
"618","31","TA2262498","81","53"
"619","6","TA4647825","57","53"
"620","5","TA4073614","72","53"
"621","10","TA2547221","121","53"
"622","47","TA3587195","77","53"
"623","15","TA2908395","21","53"
"624","15","TA9718414","128","53"
"625","5","TA7264571","127","53"
"626","5","TA5650054","22","54"
"627","4","TA6084953","28","54"
"628","15","TA4501951","113","54"
"629","8","TA4410291","25","54"
"630","5","TA1325758","13","54"
"631","10","TA8917777","68","54"
"632","9","TA7055824","3","55"
"633","10","TA2157782","16","55"
"634","9","TA5502729","87","55"
"635","6","TA4130565","103","55"
"636","11","TA5040965","62","55"
"637","5","TA4782011","126","55"
"638","48","TA3491691","40","55"
"639","12","TA2886404","106","55"
"640","14","TA7817533","8","55"
"641","12","TA6040523","36","56"
"642","5","TA2241199","47","56"
"643","14","TA1045834","125","56"
"644","48","TA3127067","116","56"
"645","6","TA7757889","56","56"
"646","44","TA1790410","24","56"
"647","7","TA1660728","4","56"
"648","13","TA1456984","70","56"
"649","7","TA5589282","71","56"
"650","10","TA6003155","67","56"
"651","8","TA5717769","48","57"
"652","3","TA6954752","57","57"
"653","44","TA7206456","125","57"
"654","17","TA4363805","59","57"
"655","42","TA5126484","99","57"
"656","40","TA5138489","70","57"
"657","12","TA8241424","39","57"
"658","27","TA8877997","12","58"
"659","15","TA2055092","5","58"
"660","10","TA6343099","1","58"
"661","2","TA9132877","124","58"
"662","7","TA5075773","23","59"
"663","9","TA9594671","12","60"
"664","9","TA8826475","74","60"
"665","7","TA6586483","10","60"
"666","25","TA2661675","35","60"
"667","51","TA9345270","60","60"
"668","30","TA9235077","68","60"
"669","38","TA6690757","108","60"
"670","9","TA3851251","9","61"
"671","2","TA3769466","47","61"
"672","4","TA8999242","25","61"
"673","17","TA5370672","76","61"
"674","7","TA6841722","7","61"
"675","12","TA1601441","112","61"
"676","49","TA1989836","98","61"
"677","13","TA4795504","2","62"
"678","31","TA7484157","16","62"
"679","40","TA1523301","83","62"
"680","37","TA7923734","36","62"
"681","11","TA3866319","86","62"
"682","38","TA3848928","106","62"
"683","17","TA4444292","111","62"
"684","7","TA6980258","6","62"
"685","17","TA5937276","131","62"
"686","43","TA2992057","107","62"
"687","7","TA2939038","7","62"
"688","40","TA5695489","11","62"
"689","17","TA4691989","132","62"
"690","16","TA9348321","26","62"
"691","12","TA6600059","112","62"
"692","97","TA3612454","26","63"
"693","18","TA9754296","57","63"
"694","7","TA7913714","75","63"
"695","4","TA8315787","88","63"
"696","5","TA5938759","76","63"
"697","15","TA1545092","47","64"
"698","80","TA3193000","34","64"
"699","45","TA6126389","7","64"
"700","13","TA3175497","69","64"
"701","5","TA8227954","81","64"
"702","139","TA6638287","41","64"
"703","19","TA9077584","18","64"
"704","14","TA2293990","8","64"
"705","5","TA2110128","50","64"
"706","8","TA9878295","35","64"
"707","47","TA4514879","77","64"
"708","11","TA5965659","13","65"
"709","8","TA9277760","45","65"
"710","63","TA8104647","14","65"
"711","8","TA3369446","96","65"
"712","26","TA4933153","33","65"
"713","53","TA7127365","61","65"
"714","17","TA6888439","131","65"
"715","80","TA8143164","34","66"
"716","25","TA8309299","117","66"
"717","6","TA8964509","46","66"
"718","17","TA6016741","131","66"
"719","5","TA1593869","81","66"
"720","35","TA5241475","13","66"
"721","9","TA6396846","87","66"
"722","6","TA1322432","39","66"
"723","25","TA6228317","96","66"
"724","38","TA1342167","85","66"
"725","31","TA8575394","97","66"
"726","7","TA5541529","23","66"
"727","27","TA2053205","82","66"
"728","5","TA8993461","79","66"
"729","40","TA6758251","11","66"
"730","55","TA2897719","114","67"
"731","38","TA9647011","119","67"
"732","9","TA6611288","18","67"
"733","5","TA9007589","129","67"
"734","32","TA2443105","26","67"
"735","11","TA1205758","110","67"
"736","47","TA6719859","5","67"
"737","15","TA3046388","7","67"
"738","5","TA4035411","1","67"
"739","30","TA4331397","127","67"
"740","24","TA7040276","92","67"
"741","44","TA1096521","31","67"
"742","76","TA4342317","73","67"
"743","40","TA1213998","102","67"
"744","46","TA4474055","41","67"
"745","10","TA6391590","29","67"
"746","40","TA1909122","70","67"
"747","5","TA8746006","123","67"
"748","40","TA4082435","54","67"
"749","10","TA5837035","1","68"
"750","40","TA3160370","70","68"
"751","10","TA2184062","123","68"
"752","9","TA7935705","18","68"
"753","139","TA8595083","41","68"
"754","42","TA8480646","94","68"
"755","33","TA6007939","22","68"
"756","53","TA6699721","132","68"
"757","13","TA1540819","34","68"
"758","10","TA6687183","109","68"
"759","5","TA1373719","19","69"
"760","13","TA4646611","102","69"
"761","18","TA2044477","104","69"
"762","5","TA2082576","47","69"
"763","9","TA4396888","28","69"
"764","31","TA1840473","1","69"
"765","32","TA6851149","26","69"
"766","8","TA9736786","98","69"
"767","12","TA8813679","44","69"
"768","7","TA7439970","115","69"
"769","17","TA3561949","59","69"
"770","10","TA9245033","105","69"
"771","11","TA3576679","72","69"
"772","8","TA4909467","32","70"
"773","12","TA2001280","103","70"
"774","2","TA6477005","76","70"
"775","8","TA4674729","40","70"
"776","8","TA2878941","88","70"
"777","14","TA3793138","31","70"
"778","7","TA7545405","75","70"
"779","18","TA2251204","104","70"
"780","4","TA4440590","25","70"
"781","7","TA3642149","94","70"
"782","25","TA3533783","96","70"
"783","13","TA6319987","2","70"
"784","9","TA9439218","120","70"
"785","40","TA5748352","91","70"
"786","9","TA1963544","122","71"
"787","40","TA9522604","83","71"
"788","18","TA5647620","57","71"
"789","3","TA6035272","4","71"
"790","10","TA5580936","101","71"
"791","7","TA6446113","125","71"
"792","97","TA1677519","26","71"
"793","8","TA2672926","35","71"
"794","37","TA4490380","112","71"
"795","5","TA1671448","121","71"
"796","15","TA2735416","47","71"
"797","34","TA1803745","37","71"
"798","19","TA2225677","65","71"
"799","13","TA9007159","95","71"
"800","10","TA8713244","130","71"
"801","27","TA5045396","3","71"
"802","12","TA4114361","106","71"
"803","4","TA8199919","96","72"
"804","7","TA4213304","21","72"
"805","27","TA8438751","12","72"
"806","14","TA4044355","6","72"
"807","8","TA2353778","35","72"
"808","7","TA9832736","23","72"
"809","31","TA5717148","101","72"
"810","11","TA4354238","51","72"
"811","19","TA9572031","18","73"
"812","4","TA9584963","93","73"
"813","5","TA5722875","67","73"
"814","7","TA4949941","21","73"
"815","37","TA6361079","42","74"
"816","17","TA7591229","45","74"
"817","7","TA9740120","75","74"
"818","5","TA3470105","67","74"
"819","33","TA6721009","62","74"
"820","27","TA5661831","64","74"
"821","10","TA6392065","19","74"
"822","11","TA7964406","126","74"
"823","16","TA3369170","116","74"
"824","35","TA6931698","51","75"
"825","139","TA1622363","41","75"
"826","9","TA2349709","93","75"
"827","60","TA7893060","52","75"
"828","8","TA4033869","111","75"
"829","16","TA6059928","116","75"
"830","59","TA5725753","65","76"
"831","7","TA8378092","107","76"
"832","7","TA1392552","31","76"
"833","7","TA7364388","6","76"
"834","9","TA9913418","63","76"
"835","34","TA2926450","37","76"
"836","10","TA3704409","127","76"
"837","47","TA8611329","5","76"
"838","5","TA6037335","113","76"
"839","4","TA4079574","20","76"
"840","27","TA9212605","3","76"
"841","11","TA1979392","66","76"
"842","25","TA1841321","35","76"
"843","7","TA7634027","115","76"
"844","6","TA5607241","106","76"
"845","38","TA3106008","85","76"
"846","43","TA9093379","78","77"
"847","43","TA6502444","107","77"
"848","78","TA1142131","80","77"
"849","4","TA1804359","64","77"
"850","9","TA5890707","93","77"
"851","6","TA6731344","36","77"
"852","14","TA1012604","43","77"
"853","5","TA2629305","124","78"
"854","7","TA6864632","77","78"
"855","4","TA6595995","25","78"
"856","24","TA1020709","38","78"
"857","11","TA3374241","72","78"
"858","10","TA4866467","52","78"
"859","3","TA1332182","4","78"
"860","8","TA4391779","60","78"
"861","6","TA3651353","95","78"
"862","5","TA4227823","47","78"
"863","5","TA9606548","55","78"
"864","5","TA7403741","67","78"
"865","67","TA5524696","110","78"
"866","17","TA9406447","111","78"
"867","9","TA1045810","20","79"
"868","4","TA5970919","96","79"
"869","6","TA9375424","69","79"
"870","4","TA6725472","122","79"
"871","12","TA4475072","38","79"
"872","5","TA9872866","15","79"
